MP name,Nature of membership,Start of term,End of term,State,Constituency,Party,Gender,Education,EducationalDetails,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
M. Venkaiah Naidu,Elected,1-Jul-10,In office,Karnataka,,Bharatiya Janata Party,Male,Graduate,"B.A., B.L. Educated at V.R. High School, Nellore, V.R. College, Nellore and Law College, Andhra University, Visakhapatnam ",64,86,0,34,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,26.6,1.9,162,64%
M.A.M. Ramaswamy,Elected,1-Jul-04,30/06/2010,Karnataka,,Janata Dal (Secular),Male,Doctorate,"B.A., D. Litt. (Honoris Causa) Educated at Vivekananda College, Chennai; conferrred D. Litt. (Honoris Causa) degree by Annamalai University, Chidambaram for outstanding contribution in the field of sports in 1979, Alagappa University, Karaikudi in 1996, P",82,0,0,0,0.06, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,5.5,1,35,64%
M.P. Achuthan,Elected,22-Apr-09,In office,Kerala,,Communist Party of India,Male,Graduate,"B.Com. Educated at Government College, Madappally ",65,66,0,671,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,59.6,0.7,454,70%
M.S. Gill,Elected,10-Apr-10,In office,Punjab,,Indian National Congress,Male,Doctorate,"Senior Cambridge, B.A. (Honours), M.A., Ph.D., Diploma in Development Studies, University of Cambridge Doctor of Science (Honoris Causa) : Punjab Agriculture University, Panjab University, Haryana Agriculture University, Madras University and Guwahati Uni",77,15,0,0,0.98,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",22.7,0.5,160,77%,28.4,0.6,161,79%
M.S. Swaminathan,Nominated,10-Apr-07,09/04/2013,,,Independent,Male,Doctorate,"B.Sc., Ph.D. Educated at Travancore University, Coimbatore Agricultural College, Madras University, School of Agriculture, University of Cambridge, U.K. Recepient of 58 Honorary Doctorate degrees from Universities around the world ",88,14,1,11,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),33.3,1,249,77%,16.1,0.4,95,68%
M.V. Mysura Reddy,Elected,3-Apr-06,02/04/2012,Andhra Pradesh,,Telugu Desam Party,Male,Graduate,"M.B.B.S. Educated at Government Medical College, Kurnool (Andhra Pradesh",64,68,1,494,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,20.2,0.8,262,77%
Mabel Rebello,Elected,3-Apr-06,02/04/2012,Jharkhand,,Indian National Congress,Female,Post Graduate,"M.A., D.S.W. (Diploma in Social Work) Educated at St. Joseph's School, St. Agnes College, Roshini Nilaya, Bangalore and Bakratulla University, Bhopal ",63,26,3,249,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,23.8,0.5,246,75%
Mahendra Mohan,Elected,3-Apr-06,02/04/2012,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"B. Com. Educated at G.N.K. Inter College, B.N.S.D. Inter College and D.A.V. College, Kanpur (Uttar Pradesh)",73,44,10,370,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,19.9,1.3,120,79%
Mahendra Prasad,Elected,3-Apr-12,In office,Bihar,,Janata Dal (United),Male,Doctorate,"Graduation with Honours in Economics, Educated at Middle School and High School, Okari and Patna College, Patna University ",74,0,0,1,0.81, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,51.9,0.1,333,77%
Mahendra Sahni,Elected,3-Apr-06,06/11/2009,Bihar,,Janata Dal (United),Male,Inter/ Higher Secondary,"Intermediate Educated at Bihar Vidyalaya Pariksha Samiti, Patna and Bihar University, Muzaffarpur",73,2,0,0,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.2,0.1,25,77%,4.9,0,28,77%
Mahendra Singh Mahra,Elected,3-Apr-12,In office,Uttarakhand,,Indian National Congress,Male,Graduate,B.A. Educated at Agra University,74,13,0,212,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,38.8,0.9,241,92%
Mahmood A. Madani,Elected,3-Apr-06,02/04/2012,Uttar Pradesh,,Rashtriya Lok Dal,Male,Graduate,"Fazil (Graduate) Educated at Darul Uloom, Deoband, Distt. Saharanpur (Uttar Pradesh) ",49,3,0,43,0.40, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,19.9,1.3,120,79%
Mangala Kisan,Elected,3-Apr-08,In office,Orissa,,Biju Janata Dal,Male,Graduate,"B.A. Educated at Bargaon High School, Bargoan, Distt. Sundargarh, B.J.B. College, Bhubaneswar, Utkal University and Sambalpur University ",66,46,0,195,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.2,0.5,253,81%
Mani Shankar Aiyar,Nominated,22-Mar-10,In office,,,Indian National Congress,Male,Post Graduate,"B.A.(Eco), M.A. (Eco) ; Educated at Doon School, Dehradun, St. Stephens' College, Delhi Univ., Trinity Hall, Cambridge University, U.K. D.Sc. (Honoris Causa) by ISM, Dhanbad, Hon. Fellow, Trinity Hall, Cambridge University, U.K., 2010",72,20,0,143,0.73, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,15.6,0.3,73,68%
Manmohan Singh,Elected,15-Jun-07,In office,Assam,,Indian National Congress,Male,Doctorate,"M.A. (Economics), Panjab University, Chandigarh, First Class with first position in the University, Economics Tripos (First Class Honours), University of Cambridge, U.K., D.Phil, Nuffield College, University of Oxford, U.K. ",81,0,0,0,0.00,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",0,0,0,0,0,0,0,0
Manohar Joshi,Elected,3-Apr-06,02/04/2012,Maharashtra,,Shiv Sena,Male,Post Graduate,"B.A., M.A., LL.B. Educated at University of Mumbai ",76,25,0,144,0.64, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,27.9,0.8,292,76%
Mansukh L. Mandaviya,Elected,3-Apr-12,In office,Gujarat,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"H.S.C., Veterinary Live Stock Inspector (Certificate Course), Educated at Songadh Gurukul and Gujarat Agricultural University, S.K. Nagar, Dantiwada, Gujarat",41,20,0,211,0.70, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,15,0.7,121,75%
Matilal Sarkar,Elected,3-Apr-04,02/04/2010,Tripura,,Communist Party of India (Marxist),Male,Post Graduate,"B.Sc., M.Sc., B.T., Special Training in Biology Educated at Bardowali High School, Agartala, M.B.B. College, Agartala, University of Saugar, Madhya Pradesh, B.T. (S.T.T.) College, Calcutta University, Agartala and Presidency College, Kolkata ",72,17,3,37,0.81, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),8.2,0.2,62,77%,17,3,37,84%
Maya Singh,Elected,10-Apr-08,23/12/2013,Madhya Pradesh,,Bharatiya Janata Party,Female,Post Graduate,"B.A., M.A. (Political Science) Educated at Jiwaji University, Gwalior (Madhya Pradesh) ",63,111,0,526,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.3,1,281,77%,41.6,1.2,328,81%
Mayawati,Elected,3-Apr-12,In office,Uttar Pradesh,,Bahujan Samaj Party,Female,Professional Graduate,"B.A., B. Ed., LL.B. Educated at Kalindi College, University of Delhi, BMLG College, Ghaziabad, Meerut University and University of Delhi",58,22,0,0,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,13.7,0.3,88,79%
Md. Nadimul Haque,Elected,3-Apr-12,In office,West Bengal,,All India Trinamool Congress,Male,Graduate,"B.A., (Hons.) Political Science Educated at St. Xavier's College, University of Calcutta",44,7,0,0,0.80, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,21.6,0.2,41,75%
Meghraj Jain,Elected,6-May-11,02/04/2012,Madhya Pradesh,,Bharatiya Janata Party,Male,Others,,64,1,0,46,0.71, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),6.7,0.1,51,77%,8.8,0.3,65,81%
Mohammad Shafi,Elected,16-Feb-09,In office,Jammu and Kashmir,,Jammu and Kashmir National Conference,Male,Graduate,"B.A., LL. B. Educated at University of Kashmir, Srinagar ",70,19,0,0,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,19.8,0,97,90%
Mohammed Adeeb,Elected,26-Nov-08,In office,Uttar Pradesh,,Independent,Male,Post Graduate,"M.Sc. Educated at Aligarh Muslim University, Aligarh (Uttar Pradesh) ",68,55,0,620,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Mohammed Amin,Elected,17-May-07,18/08/2011,West Bengal,,Communist Party of India (Marxist),Male,Others,No formal education,85,15,0,55,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),18.4,0.6,140,77%,29.1,0.4,101,75%
Mohan Singh,Elected,5-Jul-10,22/09/2013,Uttar Pradesh,,Samajwadi Party,Male,Graduate,"M.A. ; Educated at Shri Krishna Inter College, Barahaj, Deoria and Allahabad University, Allahabad, Uttar Pradesh",68,16,7,251,0.90, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),28.9,0.7,195,77%,24.4,1.2,136,79%
Mohd. Ali Khan,Elected,10-Apr-08,In office,Andhra Pradesh,,Indian National Congress,Male,Under Matric,,66,29,0,975,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31.7,1,416,77%
Mohsina Kidwai,Elected,30-Jun-10,In office,Chhattisgarh,,Indian National Congress,Female,Inter/ Higher Secondary,"Intermediate Educated at Women's College, Aligarh Muslim University, Aligarh ",82,7,0,199,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,27.8,0.6,442,84%
Moinul Hassan,Elected,3-Apr-06,02/04/2012,West Bengal,,Communist Party of India (Marxist),Male,Graduate,"B. Sc. Educated at University of Calcutta, (West Bengal) ",56,73,0,334,0.80, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,36.6,0.4,123,75%
Motilal Vora,Elected,10-Apr-08,In office,Chhattisgarh,,Indian National Congress,Male,Inter/ Higher Secondary,"High School Educated at Raipur, Chhattisgarh ",85,22,0,681,0.98, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,27.8,0.6,442,84%
Mrinal Miri,Nominated,29-Jun-12,In office,,,Independent,Male,Doctorate,BA in Philosophy from the University of Cambridge in 1966 and doctorate in 1970.,73,0,0,2,0.89, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),12.2,0.2,92,77%,4.8,0.2,15,68%
Mukhtar Abbas Naqvi,Elected,5-Jul-10,In office,Uttar Pradesh,,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B. Educated at Allahabad University, Allahabad",56,22,0,8,0.90, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,25.4,1.2,151,79%
Mukul Roy,Elected,3-Apr-12,In office,West Bengal,,All India Trinamool Congress,Male,Graduate,"Higher Secondary, B. Sc. (Part I) Educated at Harneet High School, Kanchrapara, North 24 Parganas and Calcutta University, Kolkata (West Bengal) ",59,0,0,0,0.29,"This MP was a Minister. He tendered his resignation on 21st September, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 22nd Septemb (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",10.9,0.2,75,77%,14.4,0.2,27,75%
Mukut Mithi,Elected,27-May-08,In office,Arunachal Pradesh,,Indian National Congress,Male,Graduate,"B.Sc. Educated at J.N. College, Pasighat ",62,4,0,5,0.84, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,4,0,5,84%
Munabbar Saleem,Elected,3-Apr-12,In office,Uttar Pradesh,,Samajwadi Party,Male,Professional Graduate,"B.A., LL.B. Educated at S.S.L. Jain PG College, Vidisha and Rajeev Gandhi College, Bhopal",54,39,0,39,0.96, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,13.7,0.3,88,79%
Munquad Ali,Elected,3-Apr-12,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Graduate,"B.A. Educated at Meerut University, Meerut ",51,1,0,0,0.55, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,33.7,1.5,208,79%
Murli Deora,Elected,3-Apr-08,In office,Maharashtra,,Indian National Congress,Male,Graduate,B.A.,77,0,0,0,0.69,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",22.7,0.5,160,77%,25.6,0.9,263,76%
N. Balaganga,Elected,3-Apr-08,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.A. Educated at Madras University, Chennai",63,38,0,545,0.69, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,54.4,0.7,347,71%
N. Janardhana Reddy,Elected,1-Apr-09,In office,Andhra Pradesh,,Indian National Congress,Male,Professional Graduate,"B.A., B.Ed., Trained in Basic Education (a Gandhian Concept) ; Educated at V.R. College, Government College of Education, Nellore and Government College of Basic Education, Pentapadu, West Godavari District (Andhra Pradesh)",79,5,0,7,0.55, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31.7,1,416,77%
N. K. Singh,Elected,10-Apr-08,In office,Bihar,,Janata Dal (United),Male,Post Graduate,"M.A. (Economics) Educated at St. Stephen's College, University of Delhi and Delhi School of Economics, Delhi ",73,114,1,1036,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,51.9,0.1,333,77%
N.R. Govindarajar,Elected,30-Jun-04,29/06/2010,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A. Educated at Annamalai University, Annamalai Nagar (Tamil Nadu) ",59,14,0,162,0.65, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,17.4,0.2,82,71%
Najma A. Heptulla,Elected,3-Apr-12,In office,Madhya Pradesh,,Bharatiya Janata Party,Female,Doctorate,"M.Sc.(Zoology), Ph.D. (Cardiac Anatomy) Educated at Motilal Nehru Vigyan Mahavidyalaya",73,87,0,230,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),26,0.7,186,77%,33.9,1.1,299,81%
Nand Kishore Yadav,Elected,5-Jul-04,04/07/2010,Uttar Pradesh,,Samajwadi Party,Male,Post Graduate,"M.A. (Political Science), LL.B. Educated at Gorakhpur University, Gorakhpur and Shibli National College, Azamgarh (Uttar Pradesh) ",55,13,0,204,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,8.2,0.4,57,79%
Nand Kumar Sai,Elected,4-Aug-09,In office,Chhattisgarh,,Bharatiya Janata Party,Male,Post Graduate,"M.A.(Political Science) ; Educated at N.E.S. College (formerly Ravishankar University), Jashpur Nagar, Distt. Raigarh (Madhya Pradesh)",68,28,0,661,0.71, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.1,0.9,268,77%,23.7,0.6,407,84%
Nandamuri Harikrishna,Elected,10-Apr-08,22/08/2013,Andhra Pradesh,,Telugu Desam Party,Male,Inter/ Higher Secondary,"S.Sc. Educated at Senior Secondary School, Chennai ",57,2,0,126,0.69, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),35.3,1,267,77%,29,1,383,77%
Nandi Yellaiah,Elected,10-Apr-08,In office,Andhra Pradesh,,Indian National Congress,Male,Matric,,71,15,0,333,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31.7,1,416,77%
Narayan Singh Kesari,Elected,3-Apr-06,02/04/2012,Madhya Pradesh,,Bharatiya Janata Party,Male,Graduate,Hindi Visharad Educated at Indore ,88,1,0,7,0.95, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),23.8,0.6,180,77%,22.4,0.5,190,81%
Narayan Singh Manaklao,Nominated,27-Aug-03,26/08/2009,,,Bharatiya Janata Party,Male,Doctorate,"M.A. (Hindi Literature), Ph.D. (Hindi Literature) Educated at Jai Narayan Vyas University, Jodhpur",71,1,0,0,0.87, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),4.2,0.1,25,77%,2.1,0.1,17,68%
Narendra Budania,Elected,3-Apr-12,In office,Rajasthan,,Indian National Congress,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at Lohia P.G. College, Churu and University of Rajasthan, Jaipur (Rajasthan)",57,14,0,23,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.1,0.9,268,77%,33.5,0,338,79%
Narendra Kumar Kashyap,Elected,5-Jul-10,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Professional Graduate,"B.A., LL.B. ; Educated at K.V. Degree College, Meerut University, Uttar Pradesh and M.M.H. College, Ghaziabad, Uttar Pradesh",51,82,6,253,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,25.4,1.2,151,79%
Naresh Chandra Agrawal,Elected,3-Apr-12,In office,Uttar Pradesh,,Bahujan Samaj Party,Male,Professional Graduate,"B.Sc., LL.B. ; Educated at Lucknow University, Lucknow",62,71,0,263,0.79, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,26.8,1.3,163,79%
Naresh Gujral,Elected,22-Mar-07,In office,Punjab,,Shiromani Akali Dal,Male,Graduate,"B.A., F.C.A. Educated at St. Stephen's College, University of Delhi and Institute of Chartered Accountants of India, Delhi ",65,45,0,156,0.94, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,43.8,0.8,315,79%
Natuji Halaji Thakor,Elected,10-Apr-08,In office,Gujarat,,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"SSC Educated at Mudarada, Distt. Mehsana (Gujarat) ",53,23,0,512,0.72, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31,0.7,273,75%
Naznin Faruque,Elected,3-Apr-10,In office,Assam,,Indian National Congress,Female,Graduate,"B.A.(Hons.) ; Educated at Lady Kene College, North Eastern Hill University, Shillong, Meghalaya",59,2,0,288,0.82, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),31.6,0.8,228,77%,34.6,0.2,203,84%
O.T. Lepcha,Elected,24-Feb-06,23/02/2012,Sikkim,,Sikkim Democratic Front,Male,Under Graduate,,44,16,2,155,0.77, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.9,0.6,169,77%,16,2,155,68%
Om Prakash Mathur,Elected,10-Apr-08,In office,Rajasthan,,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Rajasthan University, Jaipur ",61,16,0,305,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,39.7,0.4,385,79%
Oscar Fernandes,Elected,1-Jul-10,In office,Karnataka,,Indian National Congress,Male,Graduate,"Intermediate, B.A.II Educated at Cecilia's Convent, Board High School and M.G.M.College, Udupi ",72,1,0,0,0.81,"This MP was appointed a minister in June, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",39.8,1,290,77%,26.6,1.9,162,64%
P. Kannan,Elected,7-Oct-09,In office,Puducherry,,Indian National Congress,Male,Inter/ Higher Secondary,"P.U.C. (Intermediate) ; Educated at Tagore Arts College, Puducherry",64,12,0,1,0.56, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),35.6,0.9,265,77%,13.1,0,1,56%
P. Rajeeve,Elected,22-Apr-09,In office,Kerala,,Communist Party of India (Marxist),Male,Graduate,"B.A., LL.B., Diploma in Chemical Engineering Educated at St. Pauls College, Kalamassery, Govt. Law College, Ernakulum and Govt. Polytechnic, Kalamassery ",46,120,3,681,0.82, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,59.6,0.7,454,70%
P.J. Kurien,Elected,2-Jul-12,In office,Kerala,,Indian National Congress,Male,Post Graduate,"M. Sc. Educated at St. Thomas College, Kozencherry (Kerala) and Government Science College, Rewa (Madhya Pradesh) ",72,35,2,150,0.95,"This MP was elected Deputy Chairman of RS in October 2012. Participation and attendance details for this MP are thus available only till 7th September, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",35.9,0.9,272,77%,52.3,0.6,427,70%
P.R. Rajan,Elected,2-Jul-06,01/07/2012,Kerala,,Communist Party of India (Marxist),Male,Graduate,"B.Sc. Educated at Government Victoria College, Palakkad (Kerala) ",77,9,0,72,0.32, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),27.6,0.7,198,77%,36.8,0.7,316,70%
Palvai Govardhan Reddy,Elected,3-Apr-12,In office,Andhra Pradesh,,Indian National Congress,Male,Graduate,"B.A. Educated at Vivekavardhini College, Osmania University",77,10,0,234,0.83, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,11.5,0.2,154,77%
Pankaj Bora,Elected,16-Dec-11,In office,Assam,,Indian National Congress,Male,Graduate,"B.A. (Hons.) Educated at Cotton College, Guwahati",67,7,0,162,0.99, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),19.1,0.4,124,77%,21.5,0,126,84%
Parimal Nathwani,Elected,10-Apr-08,In office,Jharkhand,,Independent,Male,Post Graduate,"Professional doctorate in management Educated at National Institute of Management, Ahmedabad ",58,13,0,597,0.37, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,34.2,0.7,414,75%
Parshottam Khodabhai Rupala,Elected,10-Apr-08,In office,Gujarat,,Bharatiya Janata Party,Male,Graduate,"B.Sc., B.Ed. Educated at Saurashtra University and Gujarat University ",59,43,8,550,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31,0.7,273,75%
Parvez Hashmi,Elected,28-Jan-12,In office,Delhi,,Indian National Congress,Male,Post Graduate,"M. Sc. (Chemistry) ; Educated at Aligarh Muslim University, Aligarh",59,3,0,257,0.91, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.1,0.9,268,77%,6.5,0,88,93%
Paul Manoj Pandian,Elected,30-Jun-10,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Professional Post Graduate,"B.L., M.L. ; Educated at Dr. Ambedkar Law College, Chennai and Madras University, Chennai",42,12,0,18,0.33, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,37,0.6,265,71%
Penumalli Madhu,Elected,22-Jun-04,21/06/2010,Andhra Pradesh,,Communist Party of India (Marxist),Male,Under Graduate,,65,8,0,165,0.86, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),10,0.3,77,77%,9.5,0.7,119,77%
Phaggan Singh Kulaste,Elected,3-Apr-12,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Professional Post Graduate,"M.A., B.Ed., LL.B. Educated at Mandla College, Dr. Hari Singh University, Sagar and Rani Durgawati University, Jabalpur (Madhya Pradesh)",54,2,0,83,0.76, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),16,0.4,109,77%,19.4,0.7,155,81%
Piyush Vedprakash Goyal,Elected,5-Jul-10,In office,Maharashtra,,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., F.C.A. ; Educated at Don Bosco High School, Mumbai, Jai Hind College, Mumbai, H.R. College of Commerce and Economics, Mumbai, Government Law College, Mumbai and Institute of Chartered Accountants of India, New Delhi",49,26,0,297,0.75, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),29.8,0.7,213,77%,33.5,0.9,340,76%
Prabha Thakur,Elected,10-Apr-08,In office,Rajasthan,,Indian National Congress,Female,Doctorate,"B.A., M.A., Ph.D. Educated at Udaipur University, Udaipur (Rajasthan) ",64,67,0,366,0.85, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,39.7,0.4,385,79%
Prabhakar Kore,Elected,26-Jun-08,In office,Karnataka,,Bharatiya Janata Party,Male,Doctorate,"B.Com. Educated at Gogte College of Commerce, Belgaum ",66,4,0,183,0.58, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,26.6,1.9,162,64%
Prabhat Jha,Elected,10-Apr-08,In office,Madhya Pradesh,,Bharatiya Janata Party,Male,Post Graduate,"B. Sc., M.A. (Political Science), LL. B., Educated at PGV College, Gwalior and Madhav College, and MLB College, Gwalior ",56,58,14,1252,0.63, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,41.8,1.2,345,81%
Pradeep Kumar Balmuchu,Elected,4-May-12,In office,Jharkhand,,Indian National Congress,Male,Post Graduate,M.Com; Studied at Co-operative college Jamshedpur,56,4,0,216,0.88, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),15.2,0.3,103,77%,10.3,0.2,160,75%
Pradip Bhattacharya,Elected,18-Aug-11,In office,West Bengal,,Indian National Congress,Male,Post Graduate,"B.A. (Hons.), M.A. Educated at Itagoria High School, SURI Vidyasagar College and Burdwan University, West Bengal",69,9,0,130,0.78, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),21.7,0.4,150,77%,29.5,0.2,63,75%
Prakash Javadekar,Elected,3-Apr-08,In office,Maharashtra,,Bharatiya Janata Party,Male,Graduate,"B. Com. Educated at University of Pune, Pune ",63,119,8,641,0.92, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,46.6,1.3,468,76%
Pramod Kumar,Elected,13-Dec-13,In office,Uttar Pradesh,,Indian National Congress,Male,Information not available,Information not available,54,0,0,0,0.93, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),0.9,0,12,77%,0.9,0,11,79%
Pramod Kureel,Elected,9-Jul-10,02/04/2012,Uttar Pradesh,,Bahujan Samaj Party,Male,Post Graduate,"B. Arch. (Bachelor of Architechture), M. Arch. (Master of Architechture) Educated at School of Planning and Architechture, New Delhi",47,15,0,15,0.66, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),13.8,0.3,104,77%,11.7,0.9,62,79%
Prasanta Chatterjee,Elected,3-Apr-08,In office,West Bengal,,Communist Party of India (Marxist),Male,Graduate,"Matriculation, Educated at Narikeldanga High School, Kolkata and City College, Kolkata",74,90,0,173,0.81, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,58.2,0.6,164,75%
Praveen Rashtrapal,Elected,3-Apr-12,In office,Gujarat,,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at Siddharth College, Mumbai",74,31,0,221,0.79, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),39.8,1,290,77%,31,0.7,273,75%
